status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,27,27,Ox2xMJ4BfLc99Jc4X45_,JYy1MJ4BXb1gYwgPz7Tv,Y,,3a9e24db8d37dcff,3a9e24db8d37dcff,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,28,28,PB2xMJ4BfLc99Jc4X45_,Joy1MJ4BXb1gYwgPz7Tv,Y,,e6fe7832b16f68f7,e6fe7832b16f68f7,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,29,29,PR2xMJ4BfLc99Jc4X45_,J4y1MJ4BXb1gYwgPz7Tv,Y,,d5482d04d81eac7b,d5482d04d81eac7b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,30,30,Ph2xMJ4BfLc99Jc4X45_,KIy1MJ4BXb1gYwgPz7Tv,Y,,d6ca62aabb3b31e1,d6ca62aabb3b31e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,31,31,Px2xMJ4BfLc99Jc4X45_,KYy1MJ4BXb1gYwgPz7Tv,Y,,c8f61b18c9f56d9c,c8f61b18c9f56d9c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,32,32,QB2xMJ4BfLc99Jc4X45_,Koy1MJ4BXb1gYwgPz7Tv,Y,,d1d1ac9c18fab9a6,d1d1ac9c18fab9a6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,33,33,QR2xMJ4BfLc99Jc4X45_,K4y1MJ4BXb1gYwgPz7Tv,Y,,c8038e19470f11aa,c8038e19470f11aa,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,34,34,Qh2xMJ4BfLc99Jc4X45_,LIy1MJ4BXb1gYwgPz7Tv,Y,,180878fb7309889d,180878fb7309889d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,35,35,Qx2xMJ4BfLc99Jc4X45_,LYy1MJ4BXb1gYwgPz7Tv,Y,,046ad2e683c96121,046ad2e683c96121,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,36,36,RB2xMJ4BfLc99Jc4X45_,Loy1MJ4BXb1gYwgPz7Tv,Y,,86f18a6a00c0daf6,86f18a6a00c0daf6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,37,37,RR2xMJ4BfLc99Jc4X45_,L4y1MJ4BXb1gYwgPz7Tv,Y,,872e1bad5d7f07fa,872e1bad5d7f07fa,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,38,38,Rh2xMJ4BfLc99Jc4X45_,MIy1MJ4BXb1gYwgPz7Tv,Y,,ae9de41cb06f714b,ae9de41cb06f714b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,39,39,Rx2xMJ4BfLc99Jc4X45_,MYy1MJ4BXb1gYwgPz7Tv,Y,,16c817239fa87de0,16c817239fa87de0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,40,40,SB2xMJ4BfLc99Jc4X45_,Moy1MJ4BXb1gYwgPz7Tv,Y,,229f965e38489484,229f965e38489484,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,41,41,SR2xMJ4BfLc99Jc4X45_,M4y1MJ4BXb1gYwgPz7Tv,Y,,e9f6b56177c2fbe9,e9f6b56177c2fbe9,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,42,42,Sh2xMJ4BfLc99Jc4X45_,NIy1MJ4BXb1gYwgPz7Tv,Y,,ecddb56195faf9e3,ecddb56195faf9e3,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,43,43,Sx2xMJ4BfLc99Jc4X45_,NYy1MJ4BXb1gYwgPz7Tv,Y,,24710d7d43279c55,24710d7d43279c55,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,44,44,TB2xMJ4BfLc99Jc4X45_,Noy1MJ4BXb1gYwgPz7Tv,Y,,c339431d61c7eaf2,c339431d61c7eaf2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,45,45,TR2xMJ4BfLc99Jc4X45_,N4y1MJ4BXb1gYwgPz7Tv,Y,,e2f1809f7585d57e,e2f1809f7585d57e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,46,46,Th2xMJ4BfLc99Jc4X45_,OIy1MJ4BXb1gYwgPz7Tv,Y,,5c7abb09aed6db6b,5c7abb09aed6db6b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,47,47,Tx2xMJ4BfLc99Jc4X45_,OYy1MJ4BXb1gYwgPz7Tv,Y,,fde43229544b7d1f,fde43229544b7d1f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,48,48,UB2xMJ4BfLc99Jc4X45_,Ooy1MJ4BXb1gYwgPz7Tv,Y,,62ad6936122cffd8,62ad6936122cffd8,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,49,49,UR2xMJ4BfLc99Jc4X45_,O4y1MJ4BXb1gYwgPz7Tv,Y,,945d33ae756479fa,945d33ae756479fa,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,50,50,Uh2xMJ4BfLc99Jc4X45_,PIy1MJ4BXb1gYwgPz7Tv,Y,,eda224a31815d43b,eda224a31815d43b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,51,51,Ux2xMJ4BfLc99Jc4X45_,PYy1MJ4BXb1gYwgPz7Tv,Y,,45289f16b7672579,45289f16b7672579,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,52,52,VB2xMJ4BfLc99Jc4X45_,Poy1MJ4BXb1gYwgPz7Tv,Y,,a3bc3dc4df15e853,a3bc3dc4df15e853,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,53,53,VR2xMJ4BfLc99Jc4X45_,P4y1MJ4BXb1gYwgPz7Tv,Y,,bc070fe9a55388c6,bc070fe9a55388c6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,54,54,Vh2xMJ4BfLc99Jc4X45_,QIy1MJ4BXb1gYwgPz7Tv,Y,,98eb184abc6528fe,98eb184abc6528fe,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,55,55,Vx2xMJ4BfLc99Jc4X45_,QYy1MJ4BXb1gYwgPz7Tv,Y,,7f1fc9116d075620,7f1fc9116d075620,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,56,56,WB2xMJ4BfLc99Jc4X45_,Qoy1MJ4BXb1gYwgPz7Tv,Y,,299bb73aa4baf2e1,299bb73aa4baf2e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,57,57,WR2xMJ4BfLc99Jc4X45_,Q4y1MJ4BXb1gYwgPz7Tv,Y,,29239829c3c7fd49,29239829c3c7fd49,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,58,58,Wh2xMJ4BfLc99Jc4X45_,RIy1MJ4BXb1gYwgPz7Tv,Y,,cbddccfaff87b82e,cbddccfaff87b82e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,59,59,Wx2xMJ4BfLc99Jc4X45_,RYy1MJ4BXb1gYwgPz7Tv,Y,,35b58e77fd916f7f,35b58e77fd916f7f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,60,60,XB2xMJ4BfLc99Jc4X45_,Roy1MJ4BXb1gYwgPz7Tv,Y,,41cdd1d7aa8c6999,41cdd1d7aa8c6999,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,61,61,XR2xMJ4BfLc99Jc4X45_,R4y1MJ4BXb1gYwgPz7Tv,Y,,1b143c189328d454,1b143c189328d454,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,62,62,Xh2xMJ4BfLc99Jc4X45_,SIy1MJ4BXb1gYwgPz7Tv,Y,,ff9ef6e2787040cd,ff9ef6e2787040cd,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,63,63,Xx2xMJ4BfLc99Jc4X45_,SYy1MJ4BXb1gYwgPz7Tv,Y,,d6e9af2e2688ea9b,d6e9af2e2688ea9b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
