status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,tuid,high,,0,0,rAWBMZ4BFOP5uam1qod7,rAWBMZ4BFOP5uam1qod7,,Y,af8e1ac153c24bbd,fc6b655c2b99d69d,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,1,1,rQWBMZ4BFOP5uam1qod7,rQWBMZ4BFOP5uam1qod7,,Y,d9009439ff03214c,bde4a073b776d017,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,2,2,rgWBMZ4BFOP5uam1qod7,rgWBMZ4BFOP5uam1qod7,,,577c8e2ad07e5f86,577c8e2ad07e5f86,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,3,3,rwWBMZ4BFOP5uam1qod7,rwWBMZ4BFOP5uam1qod7,,,8ef6a0b7d99350ea,8ef6a0b7d99350ea,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,4,4,sAWBMZ4BFOP5uam1qod7,sAWBMZ4BFOP5uam1qod7,,Y,1ada171ca12369b1,f225fe89dd2c491f,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,5,5,sQWBMZ4BFOP5uam1qod7,sQWBMZ4BFOP5uam1qod7,,Y,ceff37513c708793,aec22804817b7a76,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,6,6,sgWBMZ4BFOP5uam1qod7,sgWBMZ4BFOP5uam1qod7,,Y,63e4eb05e078bc7b,3a131bb0ad8b6722,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,7,7,swWBMZ4BFOP5uam1qod7,swWBMZ4BFOP5uam1qod7,,Y,feaaa58866fa9a2e,d09b1cd692de884b,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,8,8,tAWBMZ4BFOP5uam1qod7,tAWBMZ4BFOP5uam1qod7,,Y,597504101cfc5cdb,630d577834e73bf2,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,9,9,tQWBMZ4BFOP5uam1qod7,tQWBMZ4BFOP5uam1qod7,,Y,abbae577877e344f,73db5a1cbecfb600,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,10,10,tgWBMZ4BFOP5uam1qod7,tgWBMZ4BFOP5uam1qod7,,,5afe173ecb223f78,5afe173ecb223f78,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,11,11,twWBMZ4BFOP5uam1qod7,twWBMZ4BFOP5uam1qod7,,Y,50293fcfe89a141f,a325c0bd68ecb506,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,12,12,uAWBMZ4BFOP5uam1qod7,uAWBMZ4BFOP5uam1qod7,,Y,221618d395f73051,8befe0d66eb7925e,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
