status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,19,19,A-020,Mx2xMJ4BfLc99Jc4X45_,Y,,ce3471dc3601a45a,ce3471dc3601a45a,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,20,20,A-021,NB2xMJ4BfLc99Jc4X45_,Y,,e9fe06cbc402806d,e9fe06cbc402806d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,21,21,A-022,NR2xMJ4BfLc99Jc4X45_,Y,,923c42cfd887f48f,923c42cfd887f48f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,22,22,A-023,Nh2xMJ4BfLc99Jc4X45_,Y,,9b5a2bf0773ae75d,9b5a2bf0773ae75d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,23,23,A-024,Nx2xMJ4BfLc99Jc4X45_,Y,,2a5ddc6848edc158,2a5ddc6848edc158,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,24,24,A-025,OB2xMJ4BfLc99Jc4X45_,Y,,0d6dda6fec9d0db4,0d6dda6fec9d0db4,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,25,25,A-026,OR2xMJ4BfLc99Jc4X45_,Y,,e048665e5638094c,e048665e5638094c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,26,26,A-027,Oh2xMJ4BfLc99Jc4X45_,Y,,da9e4ba2ba3383a0,da9e4ba2ba3383a0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,27,27,A-028,Ox2xMJ4BfLc99Jc4X45_,Y,,3a9e24db8d37dcff,3a9e24db8d37dcff,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,28,28,A-029,PB2xMJ4BfLc99Jc4X45_,Y,,e6fe7832b16f68f7,e6fe7832b16f68f7,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,29,29,A-030,PR2xMJ4BfLc99Jc4X45_,Y,,d5482d04d81eac7b,d5482d04d81eac7b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,30,30,A-031,Ph2xMJ4BfLc99Jc4X45_,Y,,d6ca62aabb3b31e1,d6ca62aabb3b31e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,31,31,A-032,Px2xMJ4BfLc99Jc4X45_,Y,,c8f61b18c9f56d9c,c8f61b18c9f56d9c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,32,32,A-033,QB2xMJ4BfLc99Jc4X45_,Y,,d1d1ac9c18fab9a6,d1d1ac9c18fab9a6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,33,33,A-034,QR2xMJ4BfLc99Jc4X45_,Y,,c8038e19470f11aa,c8038e19470f11aa,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,34,34,A-035,Qh2xMJ4BfLc99Jc4X45_,Y,,180878fb7309889d,180878fb7309889d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,35,35,A-036,Qx2xMJ4BfLc99Jc4X45_,Y,,046ad2e683c96121,046ad2e683c96121,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,36,36,A-037,RB2xMJ4BfLc99Jc4X45_,Y,,86f18a6a00c0daf6,86f18a6a00c0daf6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,37,37,A-038,RR2xMJ4BfLc99Jc4X45_,Y,,872e1bad5d7f07fa,872e1bad5d7f07fa,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,38,38,A-039,Rh2xMJ4BfLc99Jc4X45_,Y,,ae9de41cb06f714b,ae9de41cb06f714b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,39,39,A-040,Rx2xMJ4BfLc99Jc4X45_,Y,,16c817239fa87de0,16c817239fa87de0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,40,40,A-041,SB2xMJ4BfLc99Jc4X45_,Y,,229f965e38489484,229f965e38489484,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,41,41,A-042,SR2xMJ4BfLc99Jc4X45_,Y,,e9f6b56177c2fbe9,e9f6b56177c2fbe9,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,42,42,A-043,Sh2xMJ4BfLc99Jc4X45_,Y,,ecddb56195faf9e3,ecddb56195faf9e3,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,43,43,A-044,Sx2xMJ4BfLc99Jc4X45_,Y,,24710d7d43279c55,24710d7d43279c55,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,44,44,A-045,TB2xMJ4BfLc99Jc4X45_,Y,,c339431d61c7eaf2,c339431d61c7eaf2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,45,45,A-046,TR2xMJ4BfLc99Jc4X45_,Y,,e2f1809f7585d57e,e2f1809f7585d57e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,46,46,A-047,Th2xMJ4BfLc99Jc4X45_,Y,,5c7abb09aed6db6b,5c7abb09aed6db6b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,47,47,A-048,Tx2xMJ4BfLc99Jc4X45_,Y,,fde43229544b7d1f,fde43229544b7d1f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,48,48,A-049,UB2xMJ4BfLc99Jc4X45_,Y,,62ad6936122cffd8,62ad6936122cffd8,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,sequence_similarity,high,1.0,49,49,A-050,UR2xMJ4BfLc99Jc4X45_,Y,,945d33ae756479fa,945d33ae756479fa,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,50,50,A-051,Uh2xMJ4BfLc99Jc4X45_,Y,,eda224a31815d43b,eda224a31815d43b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,51,51,A-052,Ux2xMJ4BfLc99Jc4X45_,Y,,45289f16b7672579,45289f16b7672579,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,52,52,A-053,VB2xMJ4BfLc99Jc4X45_,Y,,a3bc3dc4df15e853,a3bc3dc4df15e853,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,53,53,A-054,VR2xMJ4BfLc99Jc4X45_,Y,,bc070fe9a55388c6,bc070fe9a55388c6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,54,54,A-055,Vh2xMJ4BfLc99Jc4X45_,Y,,98eb184abc6528fe,98eb184abc6528fe,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,55,55,A-056,Vx2xMJ4BfLc99Jc4X45_,Y,,7f1fc9116d075620,7f1fc9116d075620,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,56,56,A-057,WB2xMJ4BfLc99Jc4X45_,Y,,299bb73aa4baf2e1,299bb73aa4baf2e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,57,57,A-058,WR2xMJ4BfLc99Jc4X45_,Y,,29239829c3c7fd49,29239829c3c7fd49,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,58,58,A-059,Wh2xMJ4BfLc99Jc4X45_,Y,,cbddccfaff87b82e,cbddccfaff87b82e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,59,59,A-060,Wx2xMJ4BfLc99Jc4X45_,Y,,35b58e77fd916f7f,35b58e77fd916f7f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,60,60,A-061,XB2xMJ4BfLc99Jc4X45_,Y,,41cdd1d7aa8c6999,41cdd1d7aa8c6999,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,61,61,A-062,XR2xMJ4BfLc99Jc4X45_,Y,,1b143c189328d454,1b143c189328d454,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,62,62,A-063,Xh2xMJ4BfLc99Jc4X45_,Y,,ff9ef6e2787040cd,ff9ef6e2787040cd,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,63,63,A-064,Xx2xMJ4BfLc99Jc4X45_,Y,,d6e9af2e2688ea9b,d6e9af2e2688ea9b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,64,64,A-065,YB2xMJ4BfLc99Jc4X45_,Y,,8b43208b6b02924d,8b43208b6b02924d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,66,65,A-067,YR2xMJ4BfLc99Jc4X45_,Y,,72a6a2cb15374f2d,72a6a2cb15374f2d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,67,66,A-068,Yh2xMJ4BfLc99Jc4X45_,Y,,47362d770119d42f,47362d770119d42f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,68,67,A-069,Yx2xMJ4BfLc99Jc4X45_,Y,,384bf807788a86e1,384bf807788a86e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,69,68,A-070,ZB2xMJ4BfLc99Jc4X45_,Y,,590937308df581c6,590937308df581c6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,70,69,A-071,ZR2xMJ4BfLc99Jc4X45_,Y,,2d470511285d3d02,2d470511285d3d02,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,71,70,A-072,Zh2xMJ4BfLc99Jc4X45_,Y,,c954799b0a0f6b4a,c954799b0a0f6b4a,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,72,71,A-073,Zx2xMJ4BfLc99Jc4X45_,Y,,7798e5746677e3e2,7798e5746677e3e2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,73,72,A-074,aB2xMJ4BfLc99Jc4X45_,Y,,e75c607de29381fe,e75c607de29381fe,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,74,73,A-075,aR2xMJ4BfLc99Jc4X45_,Y,,b04771f7b24e6f0e,b04771f7b24e6f0e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,75,74,A-076,ah2xMJ4BfLc99Jc4X45_,Y,,44645972e5b37145,44645972e5b37145,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,76,75,A-077,ax2xMJ4BfLc99Jc4X45_,Y,,7db25e9beb586885,7db25e9beb586885,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,77,76,A-078,bB2xMJ4BfLc99Jc4X45_,Y,,f1b0be93786d4ef6,f1b0be93786d4ef6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,78,77,A-079,bR2xMJ4BfLc99Jc4X45_,Y,,ad29b57baa881a4a,ad29b57baa881a4a,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,79,78,A-080,bh2xMJ4BfLc99Jc4X45_,Y,,f5e4b1a40a7ac218,f5e4b1a40a7ac218,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,80,79,A-081,bx2xMJ4BfLc99Jc4X45_,Y,,ae63b8a30cd895e2,ae63b8a30cd895e2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,81,80,A-082,cB2xMJ4BfLc99Jc4X45_,Y,,e2f311a3facb45bf,e2f311a3facb45bf,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,82,81,A-083,cR2xMJ4BfLc99Jc4X45_,Y,,6213970fdbc3c5f0,6213970fdbc3c5f0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,83,82,A-084,ch2xMJ4BfLc99Jc4X45_,Y,,46cafaba61c23e36,46cafaba61c23e36,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,84,83,A-085,cx2xMJ4BfLc99Jc4X45_,Y,,4548ad59b73cbb71,4548ad59b73cbb71,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,85,84,A-086,dB2xMJ4BfLc99Jc4X45_,Y,,688e9d4fd259d6a9,688e9d4fd259d6a9,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,86,85,A-087,dR2xMJ4BfLc99Jc4X45_,Y,,0b331c0ac43a1811,0b331c0ac43a1811,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,87,86,A-088,dh2xMJ4BfLc99Jc4X45_,Y,,eba7eebf610602d0,eba7eebf610602d0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,88,87,A-089,dx2xMJ4BfLc99Jc4X45_,Y,,a0526d2e9282f9a9,a0526d2e9282f9a9,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,89,88,A-090,eB2xMJ4BfLc99Jc4X45_,Y,,98d219f10bd7ceb7,98d219f10bd7ceb7,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,90,89,A-091,eR2xMJ4BfLc99Jc4X45_,Y,,4cc39dccef9bce0c,4cc39dccef9bce0c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,91,90,A-092,eh2xMJ4BfLc99Jc4X45_,Y,,c0096b03edd41c8f,c0096b03edd41c8f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,92,91,A-093,ex2xMJ4BfLc99Jc4X45_,Y,,97f5493e8561dab2,97f5493e8561dab2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,93,92,A-094,fB2xMJ4BfLc99Jc4X45_,Y,,15d5f13be6941afb,15d5f13be6941afb,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,94,93,A-095,fR2xMJ4BfLc99Jc4X45_,Y,,3cb3054e4070f311,3cb3054e4070f311,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,95,94,A-096,fh2xMJ4BfLc99Jc4X45_,Y,,705916a825ecd8c5,705916a825ecd8c5,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,96,95,A-097,fx2xMJ4BfLc99Jc4X45_,Y,,9c417e5bfd3c62b5,9c417e5bfd3c62b5,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,97,96,A-098,gB2xMJ4BfLc99Jc4X45_,Y,,83f64fcfbab447fd,83f64fcfbab447fd,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,98,97,A-099,gR2xMJ4BfLc99Jc4X45_,Y,,fec375e2a0c0dd57,fec375e2a0c0dd57,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,99,98,A-100,gh2xMJ4BfLc99Jc4X45_,Y,,e9c7e31a38637566,e9c7e31a38637566,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MISSING_IN_POST,,,,65,,A-066,,,,fa73e5b54e21f88d,,0,,,,,en-CA;fr-CA,,x-source;x-tag-complexity;x-tmx-group,,False,
