status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,20,20,NB2xMJ4BfLc99Jc4X45_,A42cN54BXb1gYwgPS09o,Y,,e9fe06cbc402806d,e9fe06cbc402806d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,21,21,NR2xMJ4BfLc99Jc4X45_,BI2cN54BXb1gYwgPS09o,Y,,923c42cfd887f48f,923c42cfd887f48f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,22,22,Nh2xMJ4BfLc99Jc4X45_,BY2cN54BXb1gYwgPS09o,Y,,9b5a2bf0773ae75d,9b5a2bf0773ae75d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,23,23,Nx2xMJ4BfLc99Jc4X45_,Bo2cN54BXb1gYwgPS09o,Y,,2a5ddc6848edc158,2a5ddc6848edc158,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,24,24,OB2xMJ4BfLc99Jc4X45_,B42cN54BXb1gYwgPS09o,Y,,0d6dda6fec9d0db4,0d6dda6fec9d0db4,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,25,25,OR2xMJ4BfLc99Jc4X45_,CI2cN54BXb1gYwgPS09o,Y,,e048665e5638094c,e048665e5638094c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,26,26,Oh2xMJ4BfLc99Jc4X45_,CY2cN54BXb1gYwgPS09o,Y,,da9e4ba2ba3383a0,da9e4ba2ba3383a0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,27,27,Ox2xMJ4BfLc99Jc4X45_,Co2cN54BXb1gYwgPS09o,Y,,3a9e24db8d37dcff,3a9e24db8d37dcff,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,28,28,PB2xMJ4BfLc99Jc4X45_,C42cN54BXb1gYwgPS09o,Y,,e6fe7832b16f68f7,e6fe7832b16f68f7,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,29,29,PR2xMJ4BfLc99Jc4X45_,DI2cN54BXb1gYwgPS09o,Y,,d5482d04d81eac7b,d5482d04d81eac7b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
